Area,Sex,Yr,Age,F
2,1,1974,14,0.00584124999999999
1,2,1974,14,0.03111575
2,2,1974,14,0.00702050000000004
1,1,1975,14,0.00500624999999999
2,1,1975,14,0.00526349999999998
1,2,1975,14,0.0152065
2,2,1975,14,0.00678050000000008
1,1,1976,14,0.00874724999999998
2,1,1976,14,0.00895124999999999
1,2,1976,14,0.02650325
2,2,1976,14,0.01075525
1,1,1977,14,0.00188149999999998
2,1,1977,14,0.00376849999999998
1,2,1977,14,0.00602150000000001
2,2,1977,14,0.00560175000000007
1,1,1978,14,0.00418949999999998
2,1,1978,14,0.00151024999999999
1,2,1978,14,0.0127147500000001
2,2,1978,14,0.00330775000000005
1,1,1979,14,0.00573425
2,1,1979,14,0.00753124999999999
1,2,1979,14,0.0179645
2,2,1979,14,0.0105352500000001
1,1,1980,14,0.00709725
2,1,1980,14,0.00901299999999999
1,2,1980,14,0.0222497500000001
2,2,1980,14,0.01101025
1,1,1981,14,0.00805199999999998
2,1,1981,14,0.01572225
1,2,1981,14,0.02540575
2,2,1981,14,0.01698625
1,1,1982,14,0.00908575
2,1,1982,14,0.01155725
1,2,1982,14,0.02796825
2,2,1982,14,0.0142825
1,1,1983,14,0.00609499999999999
2,1,1983,14,0.00649974999999997
1,2,1983,14,0.01866475
2,2,1983,14,0.00880875000000003
1,1,1984,14,0.00692124999999999
2,1,1984,14,0.00830899999999998
1,2,1984,14,0.02144725
2,2,1984,14,0.00968475000000002
1,1,1985,14,0.00893374999999999
2,1,1985,14,0.00578324999999999
1,2,1985,14,0.0275095
2,2,1985,14,0.01015875
1,1,1986,14,0.00745524999999997
2,1,1986,14,0.01013
1,2,1986,14,0.0223680000000001
2,2,1986,14,0.014794
1,1,1987,14,0.00793874999999999
2,1,1987,14,0.00899
1,2,1987,14,0.02339725
2,2,1987,14,0.014092
1,1,1988,14,0.0109025
2,1,1988,14,0.01184375
1,2,1988,14,0.0320502500000001
2,2,1988,14,0.0204340000000001
1,1,1989,14,0.01152775
2,1,1989,14,0.00675924999999999
1,2,1989,14,0.0309875000000001
2,2,1989,14,0.0123625000000001
1,1,1990,14,0.00905399999999998
2,1,1990,14,0.00724724999999998
1,2,1990,14,0.0234985
2,2,1990,14,0.0129035000000001
1,1,1991,14,0.00798525
2,1,1991,14,0.00634249999999997
1,2,1991,14,0.022066
2,2,1991,14,0.0102715
1,1,1992,14,0.0103905
2,1,1992,14,0.00952999999999998
1,2,1992,14,0.02810525
2,2,1992,14,0.0127592500000001
1,1,1993,14,0.00820474999999998
2,1,1993,14,0.00379574999999999
1,2,1993,14,0.02194925
2,2,1993,14,0.00842750000000003
1,1,1994,14,0.00875774999999998
2,1,1994,14,0.00666774999999997
1,2,1994,14,0.0259590000000001
2,2,1994,14,0.01435
1,1,1995,14,0.00624449999999999
2,1,1995,14,0.00464774999999998
1,2,1995,14,0.0187085
2,2,1995,14,0.00988525000000007
1,1,1996,14,0.01141325
2,1,1996,14,0.00559799999999999
1,2,1996,14,0.03397775
2,2,1996,14,0.01216125
1,1,1997,14,0.021898
2,1,1997,14,0.00592449999999997
1,2,1997,14,0.06233775
2,2,1997,14,0.0122225
1,1,1998,14,0.02440125
2,1,1998,14,0.010889
1,2,1998,14,0.0682045000000001
2,2,1998,14,0.0227282500000001
1,1,1999,14,0.0265625
2,1,1999,14,0.0134505
1,2,1999,14,0.0732085
2,2,1999,14,0.02705575
1,1,2000,14,0.026614
2,1,2000,14,0.01750825
1,2,2000,14,0.0740185
2,2,2000,14,0.03469275
1,1,2001,14,0.026402
2,1,2001,14,0.0284165
1,2,2001,14,0.0731545
2,2,2001,14,0.05083075
1,1,2002,14,0.027958
2,1,2002,14,0.03092025
1,2,2002,14,0.07931975
2,2,2002,14,0.05739475
1,1,2003,14,0.023105
2,1,2003,14,0.04583
1,2,2003,14,0.068003
2,2,2003,14,0.0681525000000001
1,1,2004,14,0.02148075
2,1,2004,14,0.049515
1,2,2004,14,0.06301225
2,2,2004,14,0.083515
1,1,2005,14,0.0189995
2,1,2005,14,0.04217475
1,2,2005,14,0.05634975
2,2,2005,14,0.0686575
1,1,2006,14,0.01257225
2,1,2006,14,0.0665285
1,2,2006,14,0.03740475
2,2,2006,14,0.10929475
1,1,2007,14,0.011824
2,1,2007,14,0.0801755
1,2,2007,14,0.03508825
2,2,2007,14,0.123103
1,1,2008,14,0.01223575
2,1,2008,14,0.05348825
1,2,2008,14,0.0368560000000001
2,2,2008,14,0.094745
1,1,2009,14,0.01119475
2,1,2009,14,0.039003
1,2,2009,14,0.03465375
2,2,2009,14,0.0735985
1,1,2010,14,0.011723
2,1,2010,14,0.03290875
1,2,2010,14,0.0356650000000001
2,2,2010,14,0.0596135
1,1,2011,14,0.01236375
2,1,2011,14,0.041501
1,2,2011,14,0.03832075
2,2,2011,14,0.076605
1,1,2012,14,0.0132645
2,1,2012,14,0.04589275
1,2,2012,14,0.03980825
2,2,2012,14,0.0816560000000001
1,1,2013,14,0.01250175
2,1,2013,14,0.048601
1,2,2013,14,0.0369140000000001
2,2,2013,14,0.0816662500000001
1,1,2014,14,0.0133055
2,1,2014,14,0.04904425
1,2,2014,14,0.0386245000000001
2,2,2014,14,0.08984225
1,1,2015,14,0.013399
