Fleet,Length,Sel
17,60.5,0.0005226
18,60.5,0.0839805
19,60.5,0.0012623
20,60.5,0.00742595
21,60.5,0.00118423
1,61.5,0.0889821
2,61.5,0.00869617
3,61.5,0.0139413
4,61.5,0.00473022
5,61.5,0.00869617
6,61.5,0.0139413
7,61.5,0.00869617
8,61.5,0.0889821
9,61.5,0.00869617
10,61.5,0.0889821
11,61.5,0.00143671
12,61.5,0.000547009
13,61.5,0.00145263
14,61.5,0.000547009
15,61.5,0.0889821
16,61.5,0.00143671
17,61.5,0.000547009
18,61.5,0.0889821
19,61.5,0.00143671
20,61.5,0.00869617
21,61.5,0.00145263
1,62.5,0.0942171
2,62.5,0.0101574
3,62.5,0.0147873
4,62.5,0.00545737
5,62.5,0.0101574
6,62.5,0.0147873
7,62.5,0.0101574
8,62.5,0.0942171
9,62.5,0.0101574
10,62.5,0.0942171
11,62.5,0.00163315
12,62.5,0.000572557
13,62.5,0.00177625
14,62.5,0.000572557
15,62.5,0.0942171
16,62.5,0.00163315
17,62.5,0.000572557
18,62.5,0.0942171
19,62.5,0.00163315
20,62.5,0.0101574
21,62.5,0.00177625
1,63.5,0.0996919
2,63.5,0.0118335
3,63.5,0.0156837
4,63.5,0.00628413
5,63.5,0.0118335
6,63.5,0.0156837
7,63.5,0.0118335
8,63.5,0.0996919
9,63.5,0.0118335
10,63.5,0.0996919
11,63.5,0.0018541
12,63.5,0.000599298
13,63.5,0.00216516
14,63.5,0.000599298
15,63.5,0.0996919
16,63.5,0.0018541
17,63.5,0.000599298
18,63.5,0.0996919
19,63.5,0.0018541
20,63.5,0.0118335
21,63.5,0.00216516
1,64.5,0.105413
2,64.5,0.0137506
3,64.5,0.0166336
4,64.5,0.00722214
5,64.5,0.0137506
6,64.5,0.0166336
7,64.5,0.0137506
8,64.5,0.105413
9,64.5,0.0137506
10,64.5,0.105413
11,64.5,0.00210228
12,64.5,0.000627287
13,64.5,0.00263094
14,64.5,0.000627287
15,64.5,0.105413
16,64.5,0.00210228
17,64.5,0.000627287
18,64.5,0.105413
19,64.5,0.00210228
20,64.5,0.0137506
21,64.5,0.00263094
1,65.5,0.111386
2,65.5,0.015937
3,65.5,0.0176401
4,65.5,0.00828411
5,65.5,0.015937
6,65.5,0.0176401
7,65.5,0.015937
8,65.5,0.111386
9,65.5,0.015937
10,65.5,0.111386
11,65.5,0.00238066
12,65.5,0.000656582
13,65.5,0.00318687
14,65.5,0.000656582
15,65.5,0.111386
16,65.5,0.00238066
17,65.5,0.000656582
