Fleet,Fleet_Name,Area,Yr,Seas,Catch
17,17.EU.2S,2,2019,4,0
17,17.EU.2S,2,2020,1,0
17,17.EU.2S,2,2020,2,0
17,17.EU.2S,2,2020,3,0
17,17.EU.2S,2,2020,4,0
17,17.EU.2S,2,2021,1,0
17,17.EU.2S,2,2021,2,0
17,17.EU.2S,2,2021,3,0
17,17.EU.2S,2,2021,4,0
17,17.EU.2S,2,2022,1,0
17,17.EU.2S,2,2022,2,0
17,17.EU.2S,2,2022,3,0
17,17.EU.2S,2,2022,4,0
17,17.EU.2S,2,2023,1,0
17,17.EU.2S,2,2023,2,0
17,17.EU.2S,2,2023,3,0
17,17.EU.2S,2,2023,4,0
18,18.PICT.2N,2,1952,1,0
18,18.PICT.2N,2,1952,2,0
18,18.PICT.2N,2,1952,3,0
18,18.PICT.2N,2,1952,4,0
18,18.PICT.2N,2,1953,1,0
18,18.PICT.2N,2,1953,2,0
18,18.PICT.2N,2,1953,3,0
18,18.PICT.2N,2,1953,4,0
18,18.PICT.2N,2,1954,1,0
18,18.PICT.2N,2,1954,2,0
18,18.PICT.2N,2,1954,3,0
18,18.PICT.2N,2,1954,4,0
18,18.PICT.2N,2,1955,1,0
18,18.PICT.2N,2,1955,2,0
18,18.PICT.2N,2,1955,3,0
18,18.PICT.2N,2,1955,4,0
18,18.PICT.2N,2,1956,1,0
18,18.PICT.2N,2,1956,2,0
18,18.PICT.2N,2,1956,3,0
18,18.PICT.2N,2,1956,4,0
18,18.PICT.2N,2,1957,1,0
18,18.PICT.2N,2,1957,2,0
18,18.PICT.2N,2,1957,3,0
18,18.PICT.2N,2,1957,4,0
18,18.PICT.2N,2,1958,1,0
18,18.PICT.2N,2,1958,2,0
18,18.PICT.2N,2,1958,3,0
18,18.PICT.2N,2,1958,4,0
18,18.PICT.2N,2,1959,1,0
18,18.PICT.2N,2,1959,2,0
18,18.PICT.2N,2,1959,3,0
18,18.PICT.2N,2,1959,4,0
18,18.PICT.2N,2,1960,1,0
18,18.PICT.2N,2,1960,2,0
18,18.PICT.2N,2,1960,3,0
18,18.PICT.2N,2,1960,4,0
18,18.PICT.2N,2,1961,1,0
18,18.PICT.2N,2,1961,2,0
18,18.PICT.2N,2,1961,3,0
18,18.PICT.2N,2,1961,4,0
18,18.PICT.2N,2,1962,1,0
18,18.PICT.2N,2,1962,2,0
18,18.PICT.2N,2,1962,3,0
18,18.PICT.2N,2,1962,4,0
18,18.PICT.2N,2,1963,1,0
18,18.PICT.2N,2,1963,2,0
18,18.PICT.2N,2,1963,3,0
18,18.PICT.2N,2,1963,4,0
18,18.PICT.2N,2,1964,1,0
18,18.PICT.2N,2,1964,2,0
18,18.PICT.2N,2,1964,3,0
18,18.PICT.2N,2,1964,4,0
18,18.PICT.2N,2,1965,1,0
18,18.PICT.2N,2,1965,2,0
18,18.PICT.2N,2,1965,3,0
18,18.PICT.2N,2,1965,4,0
18,18.PICT.2N,2,1966,1,0
18,18.PICT.2N,2,1966,2,0
18,18.PICT.2N,2,1966,3,0
18,18.PICT.2N,2,1966,4,0
18,18.PICT.2N,2,1967,1,0
18,18.PICT.2N,2,1967,2,0
18,18.PICT.2N,2,1967,3,0
18,18.PICT.2N,2,1967,4,0
18,18.PICT.2N,2,1968,1,0
18,18.PICT.2N,2,1968,2,0
18,18.PICT.2N,2,1968,3,0
18,18.PICT.2N,2,1968,4,0
18,18.PICT.2N,2,1969,1,0
18,18.PICT.2N,2,1969,2,0
18,18.PICT.2N,2,1969,3,0
18,18.PICT.2N,2,1969,4,0
18,18.PICT.2N,2,1970,1,0
18,18.PICT.2N,2,1970,2,0
18,18.PICT.2N,2,1970,3,0
18,18.PICT.2N,2,1970,4,0
18,18.PICT.2N,2,1971,1,0
18,18.PICT.2N,2,1971,2,0
18,18.PICT.2N,2,1971,3,0
18,18.PICT.2N,2,1971,4,0
18,18.PICT.2N,2,1972,1,0
18,18.PICT.2N,2,1972,2,0
18,18.PICT.2N,2,1972,3,0
18,18.PICT.2N,2,1972,4,0
18,18.PICT.2N,2,1973,1,0
18,18.PICT.2N,2,1973,2,0
18,18.PICT.2N,2,1973,3,0
18,18.PICT.2N,2,1973,4,0
18,18.PICT.2N,2,1974,1,0
18,18.PICT.2N,2,1974,2,0
18,18.PICT.2N,2,1974,3,0
18,18.PICT.2N,2,1974,4,0
18,18.PICT.2N,2,1975,1,0
18,18.PICT.2N,2,1975,2,0
18,18.PICT.2N,2,1975,3,0
18,18.PICT.2N,2,1975,4,0
18,18.PICT.2N,2,1976,1,0
18,18.PICT.2N,2,1976,2,0
18,18.PICT.2N,2,1976,3,0
18,18.PICT.2N,2,1976,4,0
18,18.PICT.2N,2,1977,1,0
18,18.PICT.2N,2,1977,2,0
18,18.PICT.2N,2,1977,3,0
18,18.PICT.2N,2,1977,4,0
18,18.PICT.2N,2,1978,1,0
18,18.PICT.2N,2,1978,2,0
18,18.PICT.2N,2,1978,3,0
18,18.PICT.2N,2,1978,4,0
18,18.PICT.2N,2,1979,1,0
18,18.PICT.2N,2,1979,2,0
18,18.PICT.2N,2,1979,3,0
18,18.PICT.2N,2,1979,4,0
18,18.PICT.2N,2,1980,1,0
18,18.PICT.2N,2,1980,2,0
18,18.PICT.2N,2,1980,3,0
18,18.PICT.2N,2,1980,4,0
18,18.PICT.2N,2,1981,1,0
18,18.PICT.2N,2,1981,2,0
18,18.PICT.2N,2,1981,3,0
18,18.PICT.2N,2,1981,4,0
18,18.PICT.2N,2,1982,1,0.19019
18,18.PICT.2N,2,1982,2,0
18,18.PICT.2N,2,1982,3,0
18,18.PICT.2N,2,1982,4,0
18,18.PICT.2N,2,1983,1,0
18,18.PICT.2N,2,1983,2,0.233781
18,18.PICT.2N,2,1983,3,0
18,18.PICT.2N,2,1983,4,0
18,18.PICT.2N,2,1984,1,0
18,18.PICT.2N,2,1984,2,0
18,18.PICT.2N,2,1984,3,0
18,18.PICT.2N,2,1984,4,0
18,18.PICT.2N,2,1985,1,0
18,18.PICT.2N,2,1985,2,0
18,18.PICT.2N,2,1985,3,0
18,18.PICT.2N,2,1985,4,3.22908
18,18.PICT.2N,2,1986,1,0.328962
18,18.PICT.2N,2,1986,2,0
18,18.PICT.2N,2,1986,3,0
18,18.PICT.2N,2,1986,4,0.568933
18,18.PICT.2N,2,1987,1,0.285627
18,18.PICT.2N,2,1987,2,0
18,18.PICT.2N,2,1987,3,0
18,18.PICT.2N,2,1987,4,0
18,18.PICT.2N,2,1988,1,0
18,18.PICT.2N,2,1988,2,0
18,18.PICT.2N,2,1988,3,0
18,18.PICT.2N,2,1988,4,0.606521
18,18.PICT.2N,2,1989,1,0.325077
